building_name,building,room,name,department,type,capacity
201 North Braddock,2NB,401,,CFA,STUDIO (STATIC),
300 S. Craig,3SC,172,,SCS,CLASSROOM,78
300 S. Craig,3SC,265,,SCS,CLASSROOM,76
407 S. Craig,4SC,104,,SCS,CLASSROOM,63
Ansys,ANS,101,,CIT,SPECIALTY SHOP,38
Ansys,ANS,B10,,CIT,COMPUTER LAB,48
Ansys,ANS,C03,,CIT,SPECIALTY SHOP,8
Baker,BH,136A,ADAMSON WING,CENTRAL,LEARNING HALL,80
Baker,BH,136E,,CENTRAL,CONFERENCE ROOM,10
Baker,BH,140A,,CENTRAL,COMPUTER LAB,39
Baker,BH,140B,,CENTRAL,COMPUTER LAB,44
Baker,BH,154A,,CENTRAL,CONFERENCE ROOM,10
Baker,BH,332P,,DC,COMPUTER LAB,28
Baker,BH,336A,,DC,CLASSROOM,13
Baker,BH,336B,,DC,CLASSROOM,24
Baker,BH,340A,,DC,CLASSROOM,18
Baker,BH,A51,GIANT EAGLE,CENTRAL,LEARNING HALL,142
Baker,BH,A53,STEINBERG,CENTRAL,LEARNING HALL,71
College of Fine Arts,CFA,102,,CENTRAL,CLASSROOM,22
College of Fine Arts,CFA,128,KRESGE,CFA,LEARNING HALL,198
College of Fine Arts,CFA,136,ACH,CFA,LEARNING HALL,68
College of Fine Arts,CFA,200,,CFA,STUDIO (STATIC),116
College of Fine Arts,CFA,2nd flr,,,,
College of Fine Arts,CFA,303,,CFA,CLASSROOM,18
College of Fine Arts,CFA,304,,CFA,CLASSROOM,13
College of Fine Arts,CFA,307,,,,
College of Fine Arts,CFA,308,,CFA,STUDIO (MOVEMENT),18
College of Fine Arts,CFA,310,,,,
College of Fine Arts,CFA,313,,CFA,STUDIO (STATIC),16
College of Fine Arts,CFA,317,,CENTRAL,COMPUTER LAB,18
College of Fine Arts,CFA,318,,CENTRAL,COMPUTER LAB,18
College of Fine Arts,CFA,321,RECORDING STUDIO,CENTRAL,COMPUTER LAB,2
College of Fine Arts,CFA,323,,CENTRAL,COMPUTER LAB,8
College of Fine Arts,CFA,400,,CFA,STUDIO (STATIC),9
College of Fine Arts,CFA,4th flr,,,,
College of Fine Arts,CFA,A1,,CFA,STUDIO,13
College of Fine Arts,CFA,A2,,CFA,CLASSROOM,19
College of Fine Arts,CFA,A4,,,,
College of Fine Arts,CFA,A6,,,,
College of Fine Arts,CFA,M150,,CFA,STUDIO,4
College of Fine Arts,CFA,M157,,CFA,CLASSROOM,18
College of Fine Arts,CFA,M160,,CFA,CLASSROOM,19
Collaborative Innov Ctr,CIC,1201,,INI,CLASSROOM,94
Collaborative Innov Ctr,CIC,1301,,SCS,CONFERENCE,28
Cohon University Ctr,CUC,121,MCCONOMY,CENTRAL,LEARNING HALL,438
Cohon University Ctr,CUC,210A,MCKENNA/PETER/WRIGHT,CENTRAL,CONFERENCE,72
Doherty Hall,DH,1112,,CENTRAL,CLASSROOM,30
Doherty Hall,DH,1117,,CENTRAL,CLASSROOM,23
Doherty Hall,DH,1209,,CENTRAL,CLASSROOM,26
Doherty Hall,DH,1211,,CENTRAL,CLASSROOM,44
Doherty Hall,DH,1212,,CENTRAL,LEARNING HALL,94
Doherty Hall,DH,1302,,MCS,WET LAB (STATIC),148
Doherty Hall,DH,2105,,CENTRAL,CLASSROOM,26
Doherty Hall,DH,2122,,CENTRAL,CLASSROOM,22
Doherty Hall,DH,2210,,CENTRAL,LEARNING HALL,234
Doherty Hall,DH,2302,,CENTRAL,LEARNING HALL,105
